"collection_no","lng","lat"
13177,-2.428333,51.623055
13178,-2.45,51.616669
13178,-2.45,51.616669
13178,-2.45,51.616669
13178,-2.45,51.616669
13178,-2.45,51.616669
13178,-2.45,51.616669
13179,-2.45,51.616669
13179,-2.45,51.616669
13179,-2.45,51.616669
13179,-2.45,51.616669
13179,-2.45,51.616669
13180,-2.45,51.616669
13180,-2.45,51.616669
13180,-2.45,51.616669
13180,-2.45,51.616669
13180,-2.45,51.616669
13180,-2.45,51.616669
13180,-2.45,51.616669
13181,-2.45,51.616669
13181,-2.45,51.616669
13181,-2.45,51.616669
13181,-2.45,51.616669
13181,-2.45,51.616669
13182,-2.428333,51.623055
13182,-2.428333,51.623055
13183,-2.428333,51.623055
13183,-2.428333,51.623055
13183,-2.428333,51.623055
13183,-2.428333,51.623055
13183,-2.428333,51.623055
13220,-53.791389,-29.701944
13220,-53.791389,-29.701944
13263,-108.930832,38.27861
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13266,-101.163887,33.433887
13271,-67.820557,-29.823055
13271,-67.820557,-29.823055
13271,-67.820557,-29.823055
13273,-101.315002,33.521389
13273,-101.315002,33.521389
13273,-101.315002,33.521389
13273,-101.315002,33.521389
13273,-101.315002,33.521389
13273,-101.315002,33.521389
13273,-101.315002,33.521389
13273,-101.315002,33.521389
13279,-111.027779,35.679169
13280,-111.073608,35.736668
13283,-111.006943,35.695278
13285,8.978333,49.023609
13326,28.623056,-28.509443
13326,28.623056,-28.509443
13344,9.233333,45.150002
13344,9.233333,45.150002
13359,24.733334,-30.316668
13409,-110.32,36.145279
13410,-110.300003,36.099998
13787,10.466667,33
13787,10.466667,33
13787,10.466667,33
13787,10.466667,33
13787,10.466667,33
13787,10.466667,33
13787,10.466667,33
13812,10.466667,33
13812,10.466667,33
13812,10.466667,33
13812,10.466667,33
13812,10.466667,33
13861,10.466667,33
13861,10.466667,33
13861,10.466667,33
13861,10.466667,33
13861,10.466667,33
13861,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13862,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
13906,10.466667,33
14228,27.566668,-28.9
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20659,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20666,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
20667,15.65,40.483334
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
